date,national_defense
1960Q1,-1.82050
1960Q2,-1.27384
1960Q3,0.92023
1960Q4,1.86692
1961Q1,5.61275
1961Q2,6.44300
1961Q3,4.83837
1961Q4,7.03450
1962Q1,9.10353
1962Q2,8.77409
1962Q3,8.44199
1962Q4,5.74163
1963Q1,0.32387
1963Q2,-0.02902
1963Q3,0.56924
1963Q4,0.85660
1964Q1,1.43397
1964Q2,0.69525
1964Q3,-0.97818
1964Q4,-2.64955
1965Q1,-3.34172
1965Q2,-1.74703
1965Q3,1.43116
1965Q4,8.66207
1966Q1,13.88926
1966Q2,16.09671
1966Q3,20.31564
1966Q4,16.90873
1967Q1,19.03975
1967Q2,18.15126
1967Q3,12.90225
1967Q4,11.50849
1968Q1,8.92315
1968Q2,8.57335
1968Q3,4.97626
1968Q4,4.33270
1969Q1,0.79632
1969Q2,-0.64522
1969Q3,1.95035
1969Q4,0.70602
1970Q1,1.55537
1970Q2,-1.24529
1970Q3,-3.41621
1970Q4,-2.15579
1971Q1,-3.26633
1971Q2,-1.77202
1971Q3,-2.48414
1971Q4,-3.23926
1972Q1,1.89288
1972Q2,5.59184
1972Q3,0.30278
1972Q4,3.31684
1973Q1,2.04714
1973Q2,0.04356
1973Q3,2.83238
1973Q4,2.78629
1974Q1,2.66638
1974Q2,5.29437
1974Q3,9.77760
1974Q4,10.63387
1975Q1,8.35640
1975Q2,4.98130
1975Q3,8.76986
1975Q4,7.31562
1976Q1,6.82379
1976Q2,8.03428
1976Q3,4.30681
1976Q4,4.65446
1977Q1,7.05011
1977Q2,8.66828
1977Q3,8.13573
1977Q4,6.45061
1978Q1,5.42915
1978Q2,7.48550
1978Q3,8.83876
1978Q4,10.21058
1979Q1,10.81814
1979Q2,10.02317
1979Q3,10.43853
1979Q4,11.15407
1980Q1,13.94515
1980Q2,14.71794
1980Q3,12.97399
1980Q4,15.16903
1981Q1,14.26043
1981Q2,15.53849
1981Q3,17.61211
1981Q4,17.77131
1982Q1,16.20270
1982Q2,15.22201
1982Q3,15.27868
1982Q4,13.51562
1983Q1,12.44642
1983Q2,10.87200
1983Q3,10.17172
1983Q4,10.08148
1984Q1,10.06240
1984Q2,9.44026
1984Q3,8.66838
1984Q4,11.06072
1985Q1,9.05213
1985Q2,10.12768
1985Q3,13.17876
1985Q4,8.82973
1986Q1,8.02996
1986Q2,8.36744
1986Q3,7.87702
1986Q4,3.66017
1987Q1,6.59474
1987Q2,5.76316
1987Q3,3.71421
1987Q4,6.75281
1988Q1,4.68985
1988Q2,2.37954
1988Q3,0.32770
1988Q4,3.12301
1989Q1,0.96370
1989Q2,3.06905
1989Q3,4.80823
1989Q4,0.76241
1990Q1,5.18421
1990Q2,3.63057
1990Q3,1.25591
1990Q4,4.08644
1991Q1,3.98740
1991Q2,3.20759
1991Q3,3.44902
1991Q4,-1.65207
1992Q1,-3.69692
1992Q2,-4.06991
1992Q3,-0.90098
1992Q4,1.47136
1993Q1,-2.30752
1993Q2,-3.11353
1993Q3,-5.51807
1993Q4,-3.59771
1994Q1,-4.26371
1994Q2,-2.37075
1994Q3,1.20046
