date,inflation
1960Q1,1.69551
1960Q2,1.81114
1960Q3,1.58068
1960Q4,1.47695
1961Q1,1.53334
1961Q2,0.99474
1961Q3,0.97817
1961Q4,0.64355
1962Q1,0.89122
1962Q2,1.26149
1962Q3,1.16794
1962Q4,1.36780
1963Q1,1.22067
1963Q2,1.02099
1963Q3,1.24036
1963Q4,1.30339
1964Q1,1.49129
1964Q2,1.55343
1964Q3,1.39487
1964Q4,1.35467
1965Q1,1.20670
1965Q2,1.49691
1965Q3,1.54305
1965Q4,1.51558
1966Q1,1.97096
1966Q2,2.28387
1966Q3,2.68342
1966Q4,3.16226
1967Q1,2.66465
1967Q2,2.32164
1967Q3,2.48605
1967Q4,2.57775
1968Q1,3.37026
1968Q2,3.93261
1968Q3,4.04355
1968Q4,4.29497
1969Q1,4.19915
1969Q2,4.45710
1969Q3,4.65193
1969Q4,4.70458
1970Q1,4.89849
1970Q2,4.72504
1970Q3,4.46444
1970Q4,4.61285
1971Q1,4.39374
1971Q2,4.42877
1971Q3,4.43821
1971Q4,3.73809
1972Q1,3.85083
1972Q2,3.27326
1972Q3,3.16912
1972Q4,3.36849
1973Q1,3.52145
1973Q2,4.90520
1973Q3,5.88327
1973Q4,7.17907
1974Q1,9.05022
1974Q2,10.02458
1974Q3,10.97586
1974Q4,11.51128
1975Q1,10.33155
1975Q2,8.60723
1975Q3,7.73240
1975Q4,6.82550
1976Q1,6.00490
1976Q2,5.59736
1976Q3,5.23225
1976Q4,5.13016
1977Q1,5.86354
1977Q2,6.78053
1977Q3,6.76322
1977Q4,6.59933
1978Q1,6.42570
1978Q2,6.78486
1978Q3,7.05034
1978Q4,7.54238
1979Q1,7.80016
1979Q2,8.51822
1979Q3,9.29145
1979Q4,9.86156
1980Q1,11.06761
1980Q2,10.75789
1980Q3,10.60514
1980Q4,10.66170
1981Q1,10.22311
1981Q2,9.39667
1981Q3,8.65681
1981Q4,7.65951
1982Q1,6.26973
1982Q2,5.52224
1982Q3,5.45143
1982Q4,5.00606
1983Q1,4.54539
1983Q2,4.49529
1983Q3,4.22363
1983Q4,3.76524
1984Q1,4.02804
1984Q2,4.08495
1984Q3,3.52491
1984Q4,3.48209
1985Q1,3.58285
1985Q2,3.42007
1985Q3,3.43503
1985Q4,3.51605
1986Q1,3.03438
1986Q2,2.09898
1986Q3,1.83894
1986Q4,1.74664
1987Q1,1.98772
1987Q2,3.08014
1987Q3,3.51003
1987Q4,3.77588
1988Q1,3.61433
1988Q2,3.75669
